Sludinājumidatums_2,Ist.,m2,Stāvs,Stavs,Sērija,Cena,"Cena, m2",Ielas nosaukums,Ielas numurs,Iela full,Rajons,Merged,Year
4-х комнатная кв-ра по супер цене. На одной из самых престижных улиц,4,85,2,2,P. kara,"89,900",1057.647059,Valdemāra,49,centrs Valdemāra 49,centrs,"Latvia, Riga, centrs Valdemāra 49",2018
"Pārdod restaurētu, daļēji mēbelētu, dzīvokli. Kamīns, eļļotas dēļu g",3,83,2,2,P. kara,"129,900",1565.060241,Avotu,73,centrs Avotu 73,centrs,"Latvia, Riga, centrs Avotu 73",2018
"Elegants 5 istabu dzīvoklis klusajā centrā, ar 4 guļamistabām, atsev",5,133,2,2,P. kara,"279,000",2097.744361,Strēlnieku,4,centrs Strēlnieku 4,centrs,"Latvia, Riga, centrs Strēlnieku 4",2018
"Lv/rus/eng. Piedāvājām pārdošanai sauss, silts, gaišs, mēbelēts,",3,60,2,2,P. kara,"96,000",1600,Barona,60,centrs Barona 60,centrs,"Latvia, Riga, centrs Barona 60",2018
Продается рабочий Хостел в хорошем состоянии с ремонтом. Все комнаты,6,133,2,2,P. kara,"152,700",1148.120301,Čaka,114,centrs Čaka 114,centrs,"Latvia, Riga, centrs Čaka 114",2018
"Pārdod plašu dzīvokli Rīgas centrā, Raiņa bulvārī 31, jūgendstila ēk",0,154,2,2,P. kara,"280,000",1818.181818,Raiņa bulv.,31,centrs Raiņa bulv. 31,centrs,"Latvia, Riga, centrs Raiņa bulv. 31",2018
En/ru/lv Продаётся красивая и солнечная квартира в центре Риги - бу,3,124,2,2,P. kara,"226,000",1822.580645,Kalpaka bulv.,10,centrs Kalpaka bulv. 10,centrs,"Latvia, Riga, centrs Kalpaka bulv. 10",2018
"Tiek pārdots četristabu dzīvoklis centrā. Kopējā platība 101 m², dzī",4,101,2,2,P. kara,"80,000",792.0792079,Dagdas,4,centrs Dagdas 4,centrs,"Latvia, Riga, centrs Dagdas 4",2018
"Продаю 4х комнатную квартиру, квартира и земля в собственности.",4,73,2,2,P. kara,"46,000",630.1369863,Krāsotāju,26,centrs Krāsotāju 26,centrs,"Latvia, Riga, centrs Krāsotāju 26",2018
"Хозяин, без посредников, продаёт благоустроенную квартиру в центре г",4,105,2,2,P. kara,"135,000",1285.714286,Ģertrūdes,135,centrs Ģertrūdes 135,centrs,"Latvia, Riga, centrs Ģertrūdes 135",2018
Īpašnieks pārdod studio tipa dzīvokli Rīgas centrā pagalma ēkā. Br,2,57,2,2,P. kara,"85,650",1502.631579,Čaka,36,centrs Čaka 36,centrs,"Latvia, Riga, centrs Čaka 36",2018
Izīrē dzīvokli uz 1- 4nedēļām vai 2 -3-4 mēnešu īres periodu. Fasāde,5,133,2,2,P. kara,560,4.210526316,Strēlnieku,4,centrs Strēlnieku 4,centrs,"Latvia, Riga, centrs Strēlnieku 4",2018
"Komfortabls, mēbelēts un aprīkots dzīvoklis ar kamīnu. + Ērts pl",3,84,2,2,P. kara,"90,000",1071.428571,Ganību d.,25,centrs Ganību d. 25,centrs,"Latvia, Riga, centrs Ganību d. 25",2018
Īpašnieks pārdod dzīvokli tiko pēc remonta ar jaunu izbūvētu gāzes a,3,70,2,2,P. kara,"115,000",1642.857143,Dzirnavu,132,centrs Dzirnavu 132,centrs,"Latvia, Riga, centrs Dzirnavu 132",2018
Pārdod īpašnieks Sagaidi jauno gadu savā jaunajā mājoklī. Lielisk,2,35,2,2,P. kara,"55,000",1571.428571,Dzirnavu,132,centrs Dzirnavu 132,centrs,"Latvia, Riga, centrs Dzirnavu 132",2018
"Tiek pārdots saulains, kompakts dzīvoklis. Tas tiek piedāvāts ar i",1,44,2,2,P. kara,"88,500",2011.363636,Valdemāra,53,centrs Valdemāra 53,centrs,"Latvia, Riga, centrs Valdemāra 53",2018
"Plašs un ļoti gaišs divistabu dzīvoklis-studio, kapitālā remonta nos",2,52,2,2,P. kara,"104,000",2000,Valdemāra,57,centrs Valdemāra 57,centrs,"Latvia, Riga, centrs Valdemāra 57",2018
"Unikāls dzīvoklis, unikālā vietā – starp A. Briāna un Palīdzības iel",4,90,2,2,P. kara,"79,000",877.7777778,Briāna,16,centrs Briāna 16,centrs,"Latvia, Riga, centrs Briāna 16",2018
Pārdošanā divu istabu dzīvoklis ar labu plānojumu. Viena izolēta guļ,2,40,2,2,P. kara,"38,000",950,Čaka,40,centrs Čaka 40,centrs,"Latvia, Riga, centrs Čaka 40",2018
"Pārdod kvalitatīvu, gaišu, pilnībā mēbelētu 5-istabu dzīvokli ar vei",5,148,2,2,P. kara,"265,000",1790.540541,Valdemāra,75,centrs Valdemāra 75,centrs,"Latvia, Riga, centrs Valdemāra 75",2018
Tiešais saimnieks bez starpniekiem piedāvā 6-istabu dzīvokli. П,6,140,2,2,P. kara,"186,000",1328.571429,Čaka,114,centrs Čaka 114,centrs,"Latvia, Riga, centrs Čaka 114",2018
"Plašs trīsistabu dzīvoklis ar remontu, Centrā, Pirmskara laika mūra",3,71,2,2,P. kara,"77,700",1094.366197,Maskavas,81,centrs Maskavas 81,centrs,"Latvia, Riga, centrs Maskavas 81",2018
Pārdod 1-istabas dzīvokli pretī Grīziņkalna parkam ar kopējo platību,1,25,2,2,P. kara,"17,500",700,Pērnavas,56,centrs Pērnavas 56,centrs,"Latvia, Riga, centrs Pērnavas 56",2018
"Piedāvājumā 4-istabu dzīvoklis pirmskara ēkā, Kr. Valdemāra ielā, pr",4,107,2,2,P. kara,"139,200",1300.934579,Valdemāra,34,centrs Valdemāra 34,centrs,"Latvia, Riga, centrs Valdemāra 34",2018
Pārdod trīsistabu dzīvokli Tērbatas ielā 82a. Kopējā platība 62kv.,3,62,2,2,P. kara,"82,000",1322.580645,Tērbatas,82a,centrs Tērbatas 82a,centrs,"Latvia, Riga, centrs Tērbatas 82a",2018
Продаю квартиру в престижном месте. Дом находится в закрытом дворе.,2,55,2,2,P. kara,"99,000",1800,Ģertrūdes,34,centrs Ģertrūdes 34,centrs,"Latvia, Riga, centrs Ģertrūdes 34",2018
Pārdod 2-3 istabu dzīvokli ar atvērtu plānojumu ļoti labā tehniskā u,3,88,2,2,P. kara,"97,000",1102.272727,Kazarmu,2A,centrs Kazarmu 2A,centrs,"Latvia, Riga, centrs Kazarmu 2A",2018
"Срочная продажа. Ремонт, все удобства, все новые коммуникации, душ и",1,20,2,2,P. kara,"9,400",470,Lienes,27,centrs Lienes 27,centrs,"Latvia, Riga, centrs Lienes 27",2018
"Предлагаем к продаже 3-комнатную квартиру в посольском районе, город",3,90,2,2,P. kara,"125,000",1388.888889,Ausekļa,20,centrs Ausekļa 20,centrs,"Latvia, Riga, centrs Ausekļa 20",2018
"2istabu dzīvoklis atrodas vēsturiskā mūra ēku kompleksā, kas būvētas",2,31,2,2,P. kara,"39,000",1258.064516,Čaka,46,centrs Čaka 46,centrs,"Latvia, Riga, centrs Čaka 46",2018
Arhitekta Eižena Laubes projektēta māja. Dzīvoklis ar ekskluzīvu apd,3,110,2,2,P. kara,"120,900",1099.090909,Avotu,20,centrs Avotu 20,centrs,"Latvia, Riga, centrs Avotu 20",2018
Dzīvoklis jaunai ģimenei vai pārim. Pārdod īpašnieks. Pilsētas apk,3,63,2,2,P. kara,"95,000",1507.936508,Brīvības,133,centrs Brīvības 133,centrs,"Latvia, Riga, centrs Brīvības 133",2018
"Piedāvājam mājīgu dzīvokli pilsētas centrā, pirmskara ēkā Dzirnavu i",3,92,2,2,P. kara,"115,000",1250,Dzirnavu,119,centrs Dzirnavu 119,centrs,"Latvia, Riga, centrs Dzirnavu 119",2018
"Piedāvājuma gaišs un mājīgs 3-istabas dzīvoklis ar svaigu, un pilnu",3,66,2,2,P. kara,"98,600",1493.939394,Ganību d.,15,centrs Ganību d. 15,centrs,"Latvia, Riga, centrs Ganību d. 15",2018
Tiek pārdots skaists un saulains dzīvoklis pāšā Rīgas sirdī - Kalpak,3,124,2,2,P. kara,"228,000",1838.709677,Kalpaka bulv.,10,centrs Kalpaka bulv. 10,centrs,"Latvia, Riga, centrs Kalpaka bulv. 10",2018
"Izolētas istabas, balkons. Saulains dzīvoklis klusajā centrā, pirm",3,72,2,2,P. kara,"129,000",1791.666667,Tomsona,4,centrs Tomsona 4,centrs,"Latvia, Riga, centrs Tomsona 4",2018
Renovētā pirmskara laika ēkā- pašā Rīgas centrā tiek piedāvāts pārdo,3,114,2,2,P. kara,"158,000",1385.964912,Čaka,44,centrs Čaka 44,centrs,"Latvia, Riga, centrs Čaka 44",2018
Pārdošanā plašs dzīvoklis Rīgas centrā. Dzīvoklis atrodas vēstu,3,90,2,2,P. kara,"159,570",1773,Tērbatas,38,centrs Tērbatas 38,centrs,"Latvia, Riga, centrs Tērbatas 38",2018
Pašā jūgendstila sirdī tiek pārdots plašs un gaišs 2-istabu dzīvokli,2,104,2,2,P. kara,"200,000",1923.076923,Vīlandes,8,centrs Vīlandes 8,centrs,"Latvia, Riga, centrs Vīlandes 8",2018
Pārdod mājīgu trīsistabu dzīvokli Centrā. Zeme īpašumā. Logi uz mā,3,71,2,2,P. kara,"129,000",1816.901408,Tomsona,4,centrs Tomsona 4,centrs,"Latvia, Riga, centrs Tomsona 4",2018
"Īpašnieks pārdod dzīvokli. Zeme īpašumā. Klusais centrs. Parkets, ie",4,110,2,2,P. kara,"170,000",1545.454545,Rūpniecības,16,centrs Rūpniecības 16,centrs,"Latvia, Riga, centrs Rūpniecības 16",2018
Istabas: 2 atsevišķas + 1 virtuve Stavs: 2/4 Platība: 64.1 Adrese,2,64,2,2,P. kara,"78,300",1223.4375,Avotu,53,centrs Avotu 53,centrs,"Latvia, Riga, centrs Avotu 53",2018
Продается квартира в тихом центре на втором этаже кирпичного дома. В,1,26,2,2,P. kara,"31,300",1203.846154,Pērnavas,39,centrs Pērnavas 39,centrs,"Latvia, Riga, centrs Pērnavas 39",2018
Pārdošanai tiek piedāvāts vienistabas dzīvoklis Rīgas centrā Tērbata,1,33,2,2,P. kara,"64,000",1939.393939,Tērbatas,20,centrs Tērbatas 20,centrs,"Latvia, Riga, centrs Tērbatas 20",2018
Pārdod 2 istabu dzīvokli Brīvības ielā 132 pie Tallinas ielas ar kop,2,57,2,2,P. kara,"59,000",1035.087719,Brīvības,132,centrs Brīvības 132,centrs,"Latvia, Riga, centrs Brīvības 132",2018
"Pārdod 2-istu dzīvokli, kas atrodas lieliskā vietā – pašā pilsētas s",2,54,2,2,P. kara,"99,500",1842.592593,Elizabetes,9,centrs Elizabetes 9,centrs,"Latvia, Riga, centrs Elizabetes 9",2018
Дом - исторический памятник Юнеско. В доме проведены ремонтные работ,6,204,2,2,P. kara,"306,000",1500,Eksporta,4,centrs Eksporta 4,centrs,"Latvia, Riga, centrs Eksporta 4",2018
Pārdodu 4 istabu (izolētas) dzīvokli klusajā centrā. Iebūvētas mēbel,4,100,2,2,P. kara,"200,000",2000,Strēlnieku,19-17,centrs Strēlnieku 19-17,centrs,"Latvia, Riga, centrs Strēlnieku 19-17",2018
"В квартире своё отопление-котёл. Ремонт, мет. дверь, стеклопакеты. В",2,43,2,2,P. kara,"36,350",845.3488372,Dagdas,1,centrs Dagdas 1,centrs,"Latvia, Riga, centrs Dagdas 1",2018
Tiek pārdots 7 istabu dzīvoklis 168.3 kv. m. platībā ( 2 stāvs) pres,6,168,2,2,P. kara,"429,000",2553.571429,Alberta,7,centrs Alberta 7,centrs,"Latvia, Riga, centrs Alberta 7",2018
Kapitāli izremontēts dzīvoklis Rīgas klusajā centrā. -Atrodas pag,2,46,2,2,P. kara,"108,000",2347.826087,Rūpniecības,16,centrs Rūpniecības 16,centrs,"Latvia, Riga, centrs Rūpniecības 16",2018
Lielisks piedāvājums ar savu gāzes apkuri. Tiko pēc remonta. Atlaide,3,68,2,2,P. kara,"115,000",1691.176471,Dzirnavu,132,centrs Dzirnavu 132,centrs,"Latvia, Riga, centrs Dzirnavu 132",2018
"Steidzami, tiek piedāvāts kompakts dzīvoklis ar kosmētisko remontu u",1,25,2,2,P. kara,"31,500",1260,Ģertrūdes,98,centrs Ģertrūdes 98,centrs,"Latvia, Riga, centrs Ģertrūdes 98",2018
"Piedāvājuma gaišs un mājīgs 4-istabas dzīvoklis ar svaigu, un pilnu",4,66,2,2,P. kara,"98,600",1493.939394,Ganību d.,15,centrs Ganību d. 15,centrs,"Latvia, Riga, centrs Ganību d. 15",2018
"Продается просторная 4-х комнатная квартира с ремонтов, в хорошем со",4,112,2,2,P. kara,"173,000",1544.642857,Bruņinieku,12,centrs Bruņinieku 12,centrs,"Latvia, Riga, centrs Bruņinieku 12",2018
"Piedāvājumā burvīgs, renovēts dzīvoklis Upīša pasāžā. Plānojums:",3,80,2,2,P. kara,"167,000",2087.5,Dzirnavu,113,centrs Dzirnavu 113,centrs,"Latvia, Riga, centrs Dzirnavu 113",2018
"Ir gāzes apkures tehniskie noteikumi, elektrība, ūdens, kanalizācija",3,55,2,2,P. kara,"20,890",379.8181818,Matīsa,82,centrs Matīsa 82,centrs,"Latvia, Riga, centrs Matīsa 82",2018
"Dzīvoklis klusajā centrā mazdzīvokļu ēkā, sakoptā ielā ar atjaunotu",2,57,2,2,P. kara,"108,000",1894.736842,Ganu,3,centrs Ganu 3,centrs,"Latvia, Riga, centrs Ganu 3",2018
"Īpašnieks pārdod Perspektīvu Dzīvokli Ēka atrodas iekšpagalmā, i",4,91,2,2,P. kara,"82,000",901.0989011,Lāčplēša,47/12,centrs Lāčplēša 47/12,centrs,"Latvia, Riga, centrs Lāčplēša 47/12",2018
Pārdod kvalitatīvi renovētu dzīvokli Rīgas centrā. Dzīvoklis ir,2,47,2,2,P. kara,"84,000",1787.234043,Valdemāra,79/81,centrs Valdemāra 79/81,centrs,"Latvia, Riga, centrs Valdemāra 79/81",2018
"Pārdod gaišu, mājīgu tikko pēc veikta kvalitatīva kapitālā remonta d",3,75,2,2,P. kara,"92,000",1226.666667,Laboratorijas,15,centrs Laboratorijas 15,centrs,"Latvia, Riga, centrs Laboratorijas 15",2018
Piedāvājam plašu 4 istabu dzīvokli ar labu plānojumu Tērbatas un Tal,4,109,2,2,P. kara,"116,000",1064.220183,Tallinas,32,centrs Tallinas 32,centrs,"Latvia, Riga, centrs Tallinas 32",2018
Pārdošanā gaišs un plašs četru istabu dzīvoklis centrā. +Zemes d,4,103,2,2,P. kara,"235,000",2281.553398,Dzirnavu,66,centrs Dzirnavu 66,centrs,"Latvia, Riga, centrs Dzirnavu 66",2018
"Elegants, gaišs, dzīvoklis kapitāli renovētā mājā ar pilno apdari, m",3,69,2,2,P. kara,"137,340",1990.434783,Tallinas,86,centrs Tallinas 86,centrs,"Latvia, Riga, centrs Tallinas 86",2018
"Elegants, gaišs, dzīvoklis kapitāli renovētā mājā ar pilno apdari, m",2,40,2,2,P. kara,"80,000",2000,Tallinas,86,centrs Tallinas 86,centrs,"Latvia, Riga, centrs Tallinas 86",2018
"Elegants, gaišs, dzīvoklis kapitāli renovētā mājā ar pilno apdari, m",1,33,2,2,P. kara,"66,900",2027.272727,Tallinas,86,centrs Tallinas 86,centrs,"Latvia, Riga, centrs Tallinas 86",2018
Pārdod restaurētu dzīvokli. Eļļota restaurēta dēļu grīda guļamistabā,2,38,2,2,P. kara,"60,700",1597.368421,Avotu,73,centrs Avotu 73,centrs,"Latvia, Riga, centrs Avotu 73",2018
"Renovētas mūra mājas 2.stāvā 3-istabu ( 23, 4 un 16, 8 un 18, 9m) dz",3,74,2,2,P. kara,"69,000",932.4324324,Maskavas,88,centrs Maskavas 88,centrs,"Latvia, Riga, centrs Maskavas 88",2018
Tiek pārdots 2 istabu dzīvoklis pēc kapitālā remonta. 2 atsevišķas,2,64,2,2,P. kara,"78,300",1223.4375,Avotu,53,centrs Avotu 53,centrs,"Latvia, Riga, centrs Avotu 53",2018
"Divistabu dzīvoklis izvietots 1910.gadā celtā ēkā, kas celta pēc Mār",2,89,2,2,P. kara,"159,570",1792.921348,Tērbatas,38,centrs Tērbatas 38,centrs,"Latvia, Riga, centrs Tērbatas 38",2018
"Pārdod gaišu, plašu divistabu dzīvokli centrā, rekonstruētā un renov",2,61,2,2,P. kara,"102,000",1672.131148,Stabu,92,centrs Stabu 92,centrs,"Latvia, Riga, centrs Stabu 92",2018
"Pārdodu dzīvokli ar gāzes apkuri. Fasādes māja, logi gan uz Martas i",4,100,2,2,P. kara,"130,000",1300,Barona,39,centrs Barona 39,centrs,"Latvia, Riga, centrs Barona 39",2018
"Квартира расположена на 3-ем этаже фасадного здания, окна выходят на",2,53,3,3,P. kara,"46,900",884.9056604,Bruņinieku,87,centrs Bruņinieku 87,centrs,"Latvia, Riga, centrs Bruņinieku 87",2018
Piedāvajam iegādaties gaišu sausu dzīvokli. Ļoti laba atrašanas viet,3,86,3,3,P. kara,"69,900",812.7906977,Elijas,20,centrs Elijas 20,centrs,"Latvia, Riga, centrs Elijas 20",2018
Ru/lv Хозяин продаёт квартиру в престижном месте города. Кварти,2,57,3,3,P. kara,"119,950",2104.385965,Rūpniecības,16/2,centrs Rūpniecības 16/2,centrs,"Latvia, Riga, centrs Rūpniecības 16/2",2018
Продается роскошная пятикомнатная квартира общей площадью 133 кв. м.,5,133,3,3,P. kara,"239,000",1796.992481,Baznīcas,37,centrs Baznīcas 37,centrs,"Latvia, Riga, centrs Baznīcas 37",2018
Уютная с рациональной планировкой 2-х комнатная квартира. Дом Югенст,2,36,3,3,P. kara,"71,000",1972.222222,Valdemāra,34,centrs Valdemāra 34,centrs,"Latvia, Riga, centrs Valdemāra 34",2018
Pārdod elegantu un plašu 4 istabu dzīvokli Rīgas centrā. -Dzīvokli,4,118,3,3,P. kara,"190,000",1610.169492,Bruņinieku,67,centrs Bruņinieku 67,centrs,"Latvia, Riga, centrs Bruņinieku 67",2018
"Labs dzīvoklis ar panorāmas skatu, diviem balkoniem. Tikko pēc remon",4,130,3,3,P. kara,"278,000",2138.461538,Valdemāra,73,centrs Valdemāra 73,centrs,"Latvia, Riga, centrs Valdemāra 73",2018
Šī Īpašuma iegādei ir iespēja saņemt Valsts galvojumu “Altum” progra,4,129,3,3,P. kara,"278,000",2155.03876,Valdemāra,73,centrs Valdemāra 73,centrs,"Latvia, Riga, centrs Valdemāra 73",2018
"В продаже 3-комнатная квартира, в центре Риги, Кр. Барона 29, с обще",3,107,3,3,P. kara,"128,700",1202.803738,Barona,29,centrs Barona 29,centrs,"Latvia, Riga, centrs Barona 29",2018
"Īpašnieks, Rīga, Klusā iela 9, netālu no Brasas tilta (pagalma mājā)",2,39,3,3,P. kara,"46,000",1179.487179,Klusā,9A,centrs Klusā 9A,centrs,"Latvia, Riga, centrs Klusā 9A",2018
Moderns dzīoklis pilsētas Centrā pēc kapitālā remonta. Ērts plān,4,135,3,3,P. kara,"275,000",2037.037037,Stabu,14,centrs Stabu 14,centrs,"Latvia, Riga, centrs Stabu 14",2018
Pārdod kompaktu 1 istabas dzīvokli renovētā mājā ar iekārtam un mēbe,1,24,3,3,P. kara,"28,900",1204.166667,Ganību d.,15,centrs Ganību d. 15,centrs,"Latvia, Riga, centrs Ganību d. 15",2018
"Ļoti laba atrašanas vietā atrodas 1 istabu dzīvoklis. Centrs, bet kl",1,34,3,3,P. kara,"33,500",985.2941176,Lauku,1,centrs Lauku 1,centrs,"Latvia, Riga, centrs Lauku 1",2018
"Eleganta, komfortabla četrustāvu māja Rīgas vēsturiskajā centrā, Sko",2,56,3,3,P. kara,"113,900",2033.928571,Skolas,36a,centrs Skolas 36a,centrs,"Latvia, Riga, centrs Skolas 36a",2018
"Saimnieks pārdod saulainu, tikko renovētu 3 istabu dzīvokli 3.stāvā",3,75,3,3,P. kara,"124,000",1653.333333,Čaka,70,centrs Čaka 70,centrs,"Latvia, Riga, centrs Čaka 70",2018
"Brīnišķīgs, saulains, kluss 3-istabu dzīvoklis ar izolētām istabām.",3,88,3,3,P. kara,"210,000",2386.363636,Valdemāra,57,centrs Valdemāra 57,centrs,"Latvia, Riga, centrs Valdemāra 57",2018
Просторная х2 комнатная квартира в тихом центре. Великолепный ви,2,70,3,3,P. kara,"137,000",1957.142857,Valdemāra,11,centrs Valdemāra 11,centrs,"Latvia, Riga, centrs Valdemāra 11",2018
"Brīnišķīgs, saulains, kluss 4-istabu dzīvoklis ar 3 guļamistabām. Lo",4,94,3,3,P. kara,"250,000",2659.574468,Valdemāra,57,centrs Valdemāra 57,centrs,"Latvia, Riga, centrs Valdemāra 57",2018
"Предлагается 1-комн. квартира в центре, довоенный дом на ул. Артилле",1,22,3,3,P. kara,"5,500",250,Artilērijas,56,centrs Artilērijas 56,centrs,"Latvia, Riga, centrs Artilērijas 56",2018
"Piedāvājam 3-ist. dzīvokli Rīgas klusajā centrā, Vīlandes ielā, reno",3,139,3,3,P. kara,"280,000",2014.388489,Vīlandes,12,centrs Vīlandes 12,centrs,"Latvia, Riga, centrs Vīlandes 12",2018
"Pārdošanā plašs dzīvoklis ar kopējo platību 144, 3m2 labā pirmskara",5,144,3,3,P. kara,"185,000",1284.722222,Brīvības,52,centrs Brīvības 52,centrs,"Latvia, Riga, centrs Brīvības 52",2018
Īpašnieks pārdod studio tipa dzīvokli Rīgas centrā pagalma ēkā. Br,2,48,3,3,P. kara,"72,000",1500,Čaka,36,centrs Čaka 36,centrs,"Latvia, Riga, centrs Čaka 36",2018
"Tiek pārdots piecistabu dzīvoklis klusajā centrā, Dzirnavu ielā 31 (",5,118,3,3,P. kara,"255,000",2161.016949,Antonijas,14,centrs Antonijas 14,centrs,"Latvia, Riga, centrs Antonijas 14",2018
"Pardod siltu, saulainu 3x dzivokli klusaja centra, augstie griesti,",3,83,3,3,P. kara,"124,000",1493.975904,Zaļā,7,centrs Zaļā 7,centrs,"Latvia, Riga, centrs Zaļā 7",2018
Tiek piedāvāts 3 - istabu dzīvoklis Rīgas klusajā centrā. Fasādes,3,124,3,3,P. kara,"160,100",1291.129032,Ģertrūdes,63,centrs Ģertrūdes 63,centrs,"Latvia, Riga, centrs Ģertrūdes 63",2018
Cena samazināta sakarā ar pārcelšanos. Tiek piedāvāts 3 - istabu d,3,123,3,3,P. kara,"160,100",1301.626016,Ģertrūdes,63,centrs Ģertrūdes 63,centrs,"Latvia, Riga, centrs Ģertrūdes 63",2018
"Brīnišķīgs, tikko remontēts dzīvoklis ar dizainera veidotu apdari. P",2,44,3,3,P. kara,"116,000",2636.363636,Valdemāra,73,centrs Valdemāra 73,centrs,"Latvia, Riga, centrs Valdemāra 73",2018
Просторная 5-комнатная квартира в центре города. Земля во владен,5,133,3,3,P. kara,"239,000",1796.992481,Baznīcas,37,centrs Baznīcas 37,centrs,"Latvia, Riga, centrs Baznīcas 37",2018
Pārdošanā plašs 4 istabu dzīvoklis centrā. Attīstīta infrastru,4,92,3,3,P. kara,"80,190",871.6304348,Brīvības,159,centrs Brīvības 159,centrs,"Latvia, Riga, centrs Brīvības 159",2018
"Pārdodu 3-istabu dzīvokli, kopējā platība 78, 7 kv. m, istabas 24, 8",3,79,3,3,P. kara,"75,000",949.3670886,Elijas,20,centrs Elijas 20,centrs,"Latvia, Riga, centrs Elijas 20",2018
"Реновированный дом, низкие коммунальные платежи, видео наблюдение, д",2,45,3,3,P. kara,"90,000",2000,Barona,129,centrs Barona 129,centrs,"Latvia, Riga, centrs Barona 129",2018
"Eleganta, komfortabla četrustāvu māja Rīgas vēsturiskajā centrā, Sko",3,57,3,3,P. kara,"117,900",2068.421053,Skolas,36a,centrs Skolas 36a,centrs,"Latvia, Riga, centrs Skolas 36a",2018
Pārdod īpašumu Bruņinieku ielā. Telpas atrodas dzīvojamās mājas treš,2,53,3,3,P. kara,"46,900",884.9056604,Bruņinieku,87,centrs Bruņinieku 87,centrs,"Latvia, Riga, centrs Bruņinieku 87",2018
Tiek pārdots plašs 3 istabu dzīvoklis Rīgas centrā. Mājā ir mainīti,3,86,3,3,P. kara,"73,300",852.3255814,Elijas,20,centrs Elijas 20,centrs,"Latvia, Riga, centrs Elijas 20",2018
"2 izolētas istabas + izolēta virtuve ar feinu balkonu, no kura paver",2,52,3,3,P. kara,"95,000",1826.923077,Ausekļa,3,centrs Ausekļa 3,centrs,"Latvia, Riga, centrs Ausekļa 3",2018
Продается светлая и уютная 2-комнатная квартира со свежим и капиталь,2,45,3,3,P. kara,"64,400",1431.111111,Ganību d.,15,centrs Ganību d. 15,centrs,"Latvia, Riga, centrs Ganību d. 15",2018
"Tikko renovēts, kvalitatīvs dzīvoklis ar atsevišķu virtuvi, vannas i",3,75,3,3,P. kara,"124,000",1653.333333,Čaka,70,centrs Čaka 70,centrs,"Latvia, Riga, centrs Čaka 70",2018
"Фасадная, солнечная, просторная, квартира с в самом центре Риги. Все",2,74,3,3,P. kara,"108,000",1459.459459,Avotu,53,centrs Avotu 53,centrs,"Latvia, Riga, centrs Avotu 53",2018
"Pārdod 2-istabu dzīvokli ar visām ērtībām. Atrodas Rīgas centrā, klu",2,55,3,3,P. kara,"57,000",1036.363636,Upes,12,centrs Upes 12,centrs,"Latvia, Riga, centrs Upes 12",2018
Iegādei tiek piedāvāts plašs 4 - istabu dzīvoklis. Fasādes māja. Trī,4,165,3,3,P. kara,"199,000",1206.060606,Kalniņa,1a,centrs Kalniņa 1A,centrs,"Latvia, Riga, centrs Kalniņa 1A",2018
"Pārdodam trīs istabu dzīvokli. Izolētas istabas, izolēta virtuve, da",3,65,3,3,P. kara,"99,800",1535.384615,Kalniņa,4,centrs Kalniņa 4,centrs,"Latvia, Riga, centrs Kalniņa 4",2018
"Pārdod tikko renovētu 3 istabu dzīvokli Rīgas centrā, vēsturiskā jūg",3,75,3,3,P. kara,"124,000",1653.333333,Čaka,70,centrs Čaka 70,centrs,"Latvia, Riga, centrs Čaka 70",2018
"Piedāvājumā gaišs, mājigs dzīvoklis ar ērtu plānojumu. + Izolētas",2,41,3,3,P. kara,"56,000",1365.853659,Miera,95A,centrs Miera 95A,centrs,"Latvia, Riga, centrs Miera 95A",2018
Iegādei tiek piedāvāts plašs 2 - istabu dzīvoklis Rīgas centrā - Dzi,2,64,3,3,P. kara,"110,000",1718.75,Dzirnavu,71,centrs Dzirnavu 71,centrs,"Latvia, Riga, centrs Dzirnavu 71",2018
"Bankas finansējums līdz 95%, izmantojot programmu Altum. Bezmaksas",3,107,3,3,P. kara,"128,790",1203.64486,Barona,29,centrs Barona 29,centrs,"Latvia, Riga, centrs Barona 29",2018
"2- istabu dzīvoklis pie Dailes teātra, sava gāzes apkure, zeme zem ē",2,28,3,3,P. kara,"41,800",1492.857143,Brīvības,80,centrs Brīvības 80,centrs,"Latvia, Riga, centrs Brīvības 80",2018
"Pārdodam 3 istabu dzīvokli pilsētas klusajā centrā, Vīlandes ielā 18",3,101,3,3,P. kara,"192,428",1905.227723,Vīlandes,18,centrs Vīlandes 18,centrs,"Latvia, Riga, centrs Vīlandes 18",2018
Pārdodam 3 istabu dzīvokli pilsētas Klusajā centrā. Cenā iekļauta 1,3,81,3,3,P. kara,"157,442",1943.728395,Vīlandes,18,centrs Vīlandes 18,centrs,"Latvia, Riga, centrs Vīlandes 18",2018
Skaists divistabu dzīvoklis Rīgas klusajā centrā. Dzīvoklī ir pl,2,36,3,3,P. kara,"89,000",2472.222222,Zaļā,7,centrs Zaļā 7,centrs,"Latvia, Riga, centrs Zaļā 7",2018
"Piedāvājam iegādāties četru istabu dzīvokli Rīgas centrā, Brīvības i",4,180,3,3,P. kara,"225,000",1250,Brīvības,70,centrs Brīvības 70,centrs,"Latvia, Riga, centrs Brīvības 70",2018
Продаем 4-комнатную квартиру в центре. В квартире есть автономное,4,100,3,3,P. kara,"115,000",1150,Barona,39,centrs Barona 39,centrs,"Latvia, Riga, centrs Barona 39",2018
